page,href,in_card,context,line,issue
de/massagen/g5-vibro-sculpting/index.html,/de/untitled/shirodhara-geistesfluss/index.html,False,,164,broken
de/massagen/shirodhara-geistesfluss/index.html,../../../de/untitled/,True,nv-service-stage,125,broken
de/massagen/shirodhara-geistesfluss/index.html,/de/untitled/abhyanga-massage/index.html,True,related-services,162,broken
de/massagen/shirodhara-geistesfluss/index.html,/de/untitled/brasilianische-maderotherapie/index.html,False,,163,broken
de/massagen/shirodhara-geistesfluss/index.html,/de/untitled/g5-vibro-sculpting/index.html,False,,164,broken
de/hizmetler/abhyanga-massage/index.html,../../../en/services/,True,nv-service-stage,126,broken
de/hizmetler/brazilian-maderotherapy/index.html,../../../en/services/,True,nv-service-stage,126,broken
de/hizmetler/g5-vibro-sculpting/index.html,../../../en/services/,True,nv-service-stage,132,broken
de/hizmetler/shirodhara-mind-flow/index.html,../../../en/services/,True,nv-service-stage,132,broken
fr/hammam/gelin-hamami.html,/fr/booking.html,False,,139,broken
fr/hammam/kahve-detox.html,/fr/booking.html,False,,139,broken
fr/hammam/kese-kopuk.html,/fr/booking.html,False,,138,broken
fr/hammam/kopuk-masaji.html,/fr/booking.html,False,,137,broken
fr/hammam/osmanli-ritueli.html,/fr/booking.html,False,,139,broken
fr/hammam/santis-pasa.html,/fr/booking.html,False,,139,broken
fr/hammam/tuz-peeling.html,/fr/booking.html,False,,139,broken
fr/massages/anne-cocuk.html,/fr/booking.html,False,,138,broken
fr/massages/anti-selulit.html,/fr/booking.html,False,,139,broken
fr/massages/anti-stress.html,/fr/booking.html,False,,138,broken
fr/massages/aromaterapi.html,/fr/booking.html,False,,138,broken
fr/massages/bali.html,/fr/booking.html,False,,138,broken
fr/massages/bas-boyun-omuz.html,/fr/booking.html,False,,138,broken
fr/massages/cift-rituel.html,/fr/booking.html,False,,138,broken
fr/massages/cift-senkron.html,/fr/booking.html,False,,138,broken
fr/massages/derin-doku.html,/fr/booking.html,False,,138,broken
fr/massages/isvec-full-body.html,/fr/booking.html,False,,139,broken
fr/massages/kids-nazik.html,/fr/booking.html,False,,138,broken
fr/massages/klasik-rahatlama.html,/fr/booking.html,False,,138,broken
fr/massages/klasik-sirt.html,/fr/booking.html,False,,138,broken
fr/massages/kranyo-sakral.html,/fr/booking.html,False,,139,broken
fr/massages/lenf-drenaj.html,/fr/booking.html,False,,139,broken
fr/massages/myofascial-release.html,/fr/booking.html,False,,139,broken
fr/massages/refleksoloji.html,/fr/booking.html,False,,139,broken
fr/massages/shiatsu.html,/fr/booking.html,False,,138,broken
fr/massages/sicak-tas.html,/fr/booking.html,False,,138,broken
fr/massages/signature-rituel.html,/fr/booking.html,False,,138,broken
fr/massages/sirt-terapi.html,/fr/booking.html,False,,138,broken
fr/massages/spor-terapi.html,/fr/booking.html,False,,138,broken
fr/massages/tetik-nokta.html,/fr/booking.html,False,,139,broken
fr/massages/thai.html,/fr/booking.html,False,,138,broken
fr/services/acne-balance.html,/fr/booking.html,False,,135,broken
fr/services/anti-aging-pro.html,/fr/booking.html,False,,135,broken
fr/services/barrier-repair.html,/fr/booking.html,False,,135,broken
fr/services/brightening-spot.html,/fr/booking.html,False,,135,broken
fr/services/classic-facial.html,/fr/booking.html,False,,135,broken
fr/services/collagen-lift.html,/fr/booking.html,False,,135,broken
fr/services/deep-cleanse.html,/fr/booking.html,False,,135,broken
fr/services/detox-charcoal.html,/fr/booking.html,False,,135,broken
fr/services/enzyme-peel.html,/fr/booking.html,False,,135,broken
fr/services/eye-contour.html,/fr/booking.html,False,,135,broken
fr/services/glass-skin.html,/fr/booking.html,False,,135,broken
fr/services/gold-mask-ritual.html,/fr/booking.html,False,,135,broken
fr/services/hyaluron-hydrate.html,/fr/booking.html,False,,135,broken
fr/services/led-rejuvenation.html,/fr/booking.html,False,,135,broken
fr/services/lip-care.html,/fr/booking.html,False,,135,broken
fr/services/men-facial.html,/fr/booking.html,False,,135,broken
fr/services/micro-polish.html,/fr/booking.html,False,,135,broken
fr/services/oxygen-boost.html,/fr/booking.html,False,,135,broken
fr/services/sensitive-soothe.html,/fr/booking.html,False,,135,broken
fr/services/vitamin-c-glow.html,/fr/booking.html,False,,135,broken
fr/massages/maderotherapie-bresilienne/index.html,../../../fr/untitled/,True,nv-service-stage,125,broken
fr/massages/maderotherapie-bresilienne/index.html,/fr/untitled/massage-abhyanga/index.html,True,related-services,162,broken
fr/massages/maderotherapie-bresilienne/index.html,/fr/untitled/sculpture-vibro-g5/index.html,False,,163,broken
fr/massages/maderotherapie-bresilienne/index.html,/fr/untitled/shirodhara-flux-esprit/index.html,False,,164,broken
fr/massages/massage-abhyanga/index.html,../../../fr/untitled/,True,nv-service-stage,119,broken
fr/massages/sculpture-vibro-g5/index.html,../../../fr/untitled/,True,nv-service-stage,119,broken
fr/massages/sculpture-vibro-g5/index.html,/fr/untitled/maderotherapie-bresilienne/index.html,True,related-services,156,broken
fr/massages/sculpture-vibro-g5/index.html,/fr/untitled/massage-abhyanga/index.html,False,,157,broken
fr/massages/sculpture-vibro-g5/index.html,/fr/untitled/shirodhara-flux-esprit/index.html,False,,158,broken
fr/massages/shirodhara-flux-esprit/index.html,../../../fr/untitled/,True,nv-service-stage,125,broken
fr/massages/shirodhara-flux-esprit/index.html,/fr/untitled/maderotherapie-bresilienne/index.html,True,related-services,162,broken
fr/massages/shirodhara-flux-esprit/index.html,/fr/untitled/massage-abhyanga/index.html,False,,163,broken
fr/massages/shirodhara-flux-esprit/index.html,/fr/untitled/sculpture-vibro-g5/index.html,False,,164,broken
fr/hizmetler/abhyanga-massage/index.html,../../../en/services/,True,nv-service-stage,126,broken
fr/hizmetler/brazilian-maderotherapy/index.html,../../../en/services/,True,nv-service-stage,126,broken
fr/hizmetler/g5-vibro-sculpting/index.html,../../../en/services/,True,nv-service-stage,132,broken
fr/hizmetler/shirodhara-mind-flow/index.html,../../../en/services/,True,nv-service-stage,132,broken
ru/hammam/gelin-hamami.html,/ru/booking.html,False,,139,broken
ru/hammam/kahve-detox.html,/ru/booking.html,False,,139,broken
ru/hammam/kese-kopuk.html,/ru/booking.html,False,,138,broken
ru/hammam/kopuk-masaji.html,/ru/booking.html,False,,137,broken
ru/hammam/osmanli-ritueli.html,/ru/booking.html,False,,139,broken
ru/hammam/santis-pasa.html,/ru/booking.html,False,,139,broken
ru/hammam/tuz-peeling.html,/ru/booking.html,False,,139,broken
ru/massages/anne-cocuk.html,/ru/booking.html,False,,138,broken
ru/massages/anti-selulit.html,/ru/booking.html,False,,139,broken
ru/massages/anti-stress.html,/ru/booking.html,False,,138,broken
ru/massages/aromaterapi.html,/ru/booking.html,False,,138,broken
ru/massages/bali.html,/ru/booking.html,False,,138,broken
ru/massages/bas-boyun-omuz.html,/ru/booking.html,False,,138,broken
ru/massages/cift-rituel.html,/ru/booking.html,False,,138,broken
